Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Type,Category
End-to-End AI on Databricks,07/28/2026,02:00 PM,07/28/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
"Lakebase: Serverless Postgres Database",07/31/2026,02:00 PM,07/31/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Data Intelligence with Databricks on Google Cloud,05/19/2026,12:00 PM,05/19/2026,03:00 PM,False,"Hands-on workshop covering the complete data and AI lifecycle using Databricks on Google Cloud. Unify structured and unstructured data, build governed dashboards with DBSQL and Looker, and create ML/GenAI models with Vertex AI and Gemini. Duration: 3 hrs.",https://events.databricks.com/FY27Q2-TR-GCPCloudHands-onLab,Virtual,Cloud
AI-Powered Data Engineering with Lakeflow,05/20/2026,12:00 PM,05/20/2026,01:35 PM,False,"Introductory hands-on workshop for data engineers and architects covering streaming data pipelines with Lakeflow, declarative pipelines, streaming tables, materialized views, and AI-assisted code generation via Genie. Duration: 1.5 hrs.",https://events.databricks.com/FY27Q2-TR-DataEngineering-Workshop,Virtual,Data Engineering
Databricks Quarterly Product Roadmap,05/21/2026,11:00 AM,05/21/2026,12:00 PM,False,"Hear directly from Databricks product leaders on upcoming feature updates including serverless Postgres and AI agents through Lakebase, conversational analytics, enterprise-scale AI agents, data warehousing enhancements, and governance updates. Duration: 1 hr.",https://www.databricks.com/resources/webinar/productroadmapwebinar,Virtual,Strategy
Building Modern Applications on Databricks with Lakebase,06/03/2026,12:00 PM,06/03/2026,01:35 PM,False,"Hands-on workshop introducing Lakebase, a managed Postgres database on Databricks. Run your application and analytics on the same data and accelerate development when applications, analytics, and AI operate on unified data infrastructure. Duration: 1.5 hrs.",https://events.databricks.com/FY27Q2-TR-App-Lakebase-Workshop,Virtual,Development
Data + AI Summit 2026,06/15/2026,09:00 AM,06/18/2026,05:00 PM,False,"The world's largest data, analytics and AI conference. 800+ sessions, keynotes, and training exploring the convergence of data and AI and the future of data-intelligent apps and agents. Hybrid: in-person + virtual.",https://www.databricks.com/dataaisummit,In-Person,Conference
"Unity Catalog: Unified, Open Governance for Data and AI",06/29/2026,12:00 PM,06/29/2026,01:35 PM,False,"Hands-on workshop covering how Unity Catalog enables organizations to seamlessly govern structured and unstructured data, ML models, notebooks, dashboards, and files across any cloud or platform. Duration: 1.5 hrs.",https://events.databricks.com/FY27Q2-TR-UnityCatalog-Workshop,Virtual,Governance
"Databricks SQL in Action: Intelligent Data Warehousing, Analytics and BI",07/08/2026,12:00 PM,07/08/2026,02:30 PM,False,"Hands-on workshop on Databricks SQL multicloud lakehouse architecture delivering data warehouse performance at data lake economics. Explore unified infrastructure, governance, and AI-enhanced analytics tools. Duration: 2.5 hrs.",https://events.databricks.com/FY27Q2-TR-DBSQL-Workshop,Virtual,SQL & Analytics
Databricks SQL and Serverless,05/12/2026,02:00 PM,05/12/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Production-Ready Agents on Databricks,05/13/2026,02:00 PM,05/13/2026,04:00 PM,False,"Leverage the Mosaic AI Agent Framework, Agent Bricks, and Databricks platform to bring high-quality, scalable Gen AI applications into production. Presenters: Te Chen and Karthiga Mahalingam. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",05/14/2026,02:00 PM,05/14/2026,03:30 PM,False,"Develop and deploy ETL pipelines with varying latency requirements. Build a medallion architecture using both Spark Structured Streaming and Lakeflow Declarative Pipelines. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Intro to Databricks,05/20/2026,02:00 PM,05/20/2026,03:30 PM,False,"Introductory tour of the Databricks unified platform for data engineering, ML/AI, and governance. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
Databricks SQL and Serverless,05/26/2026,02:00 PM,05/26/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Production-Ready Agents on Databricks,05/27/2026,02:00 PM,05/27/2026,04:00 PM,False,"Leverage the Mosaic AI Agent Framework, Agent Bricks, and Databricks platform to bring high-quality, scalable Gen AI applications into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",05/28/2026,02:00 PM,05/28/2026,03:30 PM,False,"Develop and deploy ETL pipelines with varying latency requirements. Build a medallion architecture using both Spark Structured Streaming and Lakeflow Declarative Pipelines. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Intro to Databricks,06/03/2026,02:00 PM,06/03/2026,03:30 PM,False,"Introductory tour of the Databricks unified platform for data engineering, ML/AI, and governance. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
Databricks SQL and Serverless,06/09/2026,02:00 PM,06/09/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Production-Ready Agents on Databricks,06/10/2026,02:00 PM,06/10/2026,04:00 PM,False,"Leverage the Mosaic AI Agent Framework, Agent Bricks, and Databricks platform to bring high-quality, scalable Gen AI applications into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",06/11/2026,02:00 PM,06/11/2026,03:30 PM,False,"Develop and deploy ETL pipelines with varying latency requirements. Build a medallion architecture using both Spark Structured Streaming and Lakeflow Declarative Pipelines. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Databricks SQL and Serverless,06/23/2026,02:00 PM,06/23/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Production-Ready Agents on Databricks,06/24/2026,02:00 PM,06/24/2026,04:00 PM,False,"Leverage the Mosaic AI Agent Framework, Agent Bricks, and Databricks platform to bring high-quality, scalable Gen AI applications into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",06/25/2026,02:00 PM,06/25/2026,03:30 PM,False,"Develop and deploy ETL pipelines with varying latency requirements. Build a medallion architecture using both Spark Structured Streaming and Lakeflow Declarative Pipelines. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Intro to Databricks,07/01/2026,02:00 PM,07/01/2026,03:30 PM,False,"Introductory tour of the Databricks unified platform for data engineering, ML/AI, and governance. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
Databricks SQL and Serverless,07/07/2026,02:00 PM,07/07/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Production-Ready Agents on Databricks,07/08/2026,02:00 PM,07/08/2026,04:00 PM,False,"Leverage the Mosaic AI Agent Framework, Agent Bricks, and Databricks platform to bring high-quality, scalable Gen AI applications into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",07/09/2026,02:00 PM,07/09/2026,03:30 PM,False,"Develop and deploy ETL pipelines with varying latency requirements. Build a medallion architecture using both Spark Structured Streaming and Lakeflow Declarative Pipelines. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Intro to Databricks,07/15/2026,02:00 PM,07/15/2026,03:30 PM,False,"Introductory tour of the Databricks unified platform for data engineering, ML/AI, and governance. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
Intro to Databricks,07/29/2026,02:00 PM,07/29/2026,03:30 PM,False,"Introductory tour of the Databricks unified platform for data engineering, ML/AI, and governance. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
